Ranking,Código do Município,Nome do Município,UF,População
1,"3550308","São Paulo"," São Paulo",11451245
2,"3304557","Rio de Janeiro"," Rio de Janeiro",6211423
3,"5300108","Brasília"," Distrito Federal",2817068
4,"2304400","Fortaleza"," Ceará",2428678
5,"2927408","Salvador"," Bahia",2418005
6,"3106200","Belo Horizonte"," Minas Gerais",2315560
7,"1302603","Manaus"," Amazonas",2063547
8,"4106902","Curitiba"," Paraná",1773733
9°,"2611606","Recife"," Pernambuco",1488920
10,"5208707","Goiânia"," Goiás",1437237
11,"4314902","Porto Alegre"," Rio Grande do Sul",1332570
12,"1501402","Belém"," Pará",1303309
13,"3518800","Guarulhos"," São Paulo",1291784
14,"3509502","Campinas"," São Paulo",1138309
15,"2111300","São Luís"," Maranhão",1037775
16,"2704302","Maceió"," Alagoas",957916
17,"5002704","Campo Grande"," Mato Grosso do Sul",897938
18,"3304904","São Gonçalo"," Rio de Janeiro",896744
19,"2211001","Teresina"," Piauí",866300
20,"2507507","João Pessoa"," Paraíba",833932
21,"3548708","São Bernardo do Campo"," São Paulo",810729
22,"3301702","Duque de Caxias"," Rio de Janeiro",808252
23,"3303500","Nova Iguaçu"," Rio de Janeiro",785882
24,"2408102","Natal"," Rio Grande do Norte",751300
25,"3547809","Santo André"," São Paulo",748919
26,"3534401","Osasco"," São Paulo",743432
27,"3552205","Sorocaba"," São Paulo",723574
28,"3170206","Uberlândia"," Minas Gerais",713232
29,"3543402","Ribeirão Preto"," São Paulo",698259
30,"3549904","São José dos Campos"," São Paulo",697428
31,"5103403","Cuiabá"," Mato Grosso",650912
32,"2607901","Jaboatão dos Guararapes"," Pernambuco",643759
33,"3118601","Contagem"," Minas Gerais",621865
34,"4209102","Joinville"," Santa Catarina",616323
35,"2910800","Feira de Santana"," Bahia",616279
36,"2800308","Aracaju"," Sergipe",602757
37,"4113700","Londrina"," Paraná",555937
38,"3136702","Juiz de Fora"," Minas Gerais",540756
39,"4205407","Florianópolis"," Santa Catarina",537213
40,"5201405","Aparecida de Goiânia"," Goiás",527550
41,"3205002","Serra"," Espírito Santo",520649
42,"3301009","Campos dos Goytacazes"," Rio de Janeiro",483551
43,"3300456","Belford Roxo"," Rio de Janeiro",483087
44,"3303302","Niterói"," Rio de Janeiro",481758
45,"3549805","São José do Rio Preto"," São Paulo",480439
46,"1500800","Ananindeua"," Pará",478778
47,"3205200","Vila Velha"," Espírito Santo",467722
48,"4305108","Caxias do Sul"," Rio Grande do Sul",463338
49,"1100205","Porto Velho"," Rondônia",460413
50,"3530607","Mogi das Cruzes"," São Paulo",449955
51,"3525904","Jundiaí"," São Paulo",443116
52,"1600303","Macapá"," Amapá",442933
53,"3305109","São João de Meriti"," Rio de Janeiro",440962
54,"3538709","Piracicaba"," São Paulo",423323
55,"2504009","Campina Grande"," Paraíba",419379
56,"3548500","Santos"," São Paulo",418608
57,"3529401","Mauá"," São Paulo",418261
58,"3143302","Montes Claros"," Minas Gerais",414240
59,"1400100","Boa Vista"," Roraima",413486
60,"3106705","Betim"," Minas Gerais",411859
61,"4115200","Maringá"," Paraná",409657
62,"5201108","Anápolis"," Goiás",398817
63,"3513801","Diadema"," São Paulo",393237
64,"3510609","Carapicuíba"," São Paulo",387121
65,"2611101","Petrolina"," Pernambuco",386786
66,"3506003","Bauru"," São Paulo",379146
67,"2604106","Caruaru"," Pernambuco",378052
68,"2933307","Vitória da Conquista"," Bahia",370868
69,"3523107","Itaquaquecetuba"," São Paulo",369275
70,"1200401","Rio Branco"," Acre",364756
71,"4202404","Blumenau"," Santa Catarina",361261
72,"4119905","Ponta Grossa"," Paraná",358367
73,"2303709","Caucaia"," Ceará",355679
74,"3201308","Cariacica"," Espírito Santo",353510
75,"3516200","Franca"," São Paulo",352537
76,"2609600","Olinda"," Pernambuco",349976
77,"3541000","Praia Grande"," São Paulo",349935
78,"4104808","Cascavel"," Paraná",348051
79,"4304606","Canoas"," Rio Grande do Sul",347657
80,"2610707","Paulista"," Pernambuco",342167
81,"3170107","Uberaba"," Minas Gerais",337846
82,"1506807","Santarém"," Pará",331937
83,"3551009","São Vicente"," São Paulo",329844
84,"3154606","Ribeirão das Neves"," Minas Gerais",329794
85,"4125506","São José dos Pinhais"," Paraná",329222
86,"4314407","Pelotas"," Rio Grande do Sul",325689
87,"3205309","Vitória"," Espírito Santo",322869
88,"3505708","Barueri"," São Paulo",316473
89,"3554102","Taubaté"," São Paulo",310739
90,"3552502","Suzano"," São Paulo",307364
91,"1721000","Palmas"," Tocantins",302692
92,"2905701","Camaçari"," Bahia",299579
93,"5108402","Várzea Grande"," Mato Grosso",299472
94,"3526902","Limeira"," São Paulo",291869
95,"3518701","Guarujá"," São Paulo",287634
96,"2307304","Juazeiro do Norte"," Ceará",286120
97,"4108304","Foz do Iguaçu"," Paraná",285415
98,"3552403","Sumaré"," São Paulo",279546
99,"3303906","Petrópolis"," Rio de Janeiro",278881
100,"4316907","Santa Maria"," Rio Grande do Sul",277205
101,"3513009","Cotia"," São Paulo",273640
102,"3552809","Taboão da Serra"," São Paulo",273542
103,"2105302","Imperatriz"," Maranhão",273110
104,"4216602","São José"," Santa Catarina",270295
105,"1504208","Marabá"," Pará",266536
106,"1505536","Parauapebas"," Pará",266424
107,"4309209","Gravataí"," Rio Grande do Sul",265070
108,"2408003","Mossoró"," Rio Grande do Norte",264577
109,"4208203","Itajaí"," Santa Catarina",264054
110,"3306305","Volta Redonda"," Rio de Janeiro",261584
111,"3127701","Governador Valadares"," Minas Gerais",257172
112,"3520509","Indaiatuba"," São Paulo",255739
113,"3548906","São Carlos"," São Paulo",254822
114,"4204202","Chapecó"," Santa Catarina",254781
115,"2403251","Parnamirim"," Rio Grande do Norte",252716
116,"3515004","Embu das Artes"," São Paulo",250720
117,"3302403","Macaé"," Rio de Janeiro",246391
118,"5107602","Rondonópolis"," Mato Grosso",244897
119,"2111201","São José de Ribamar"," Maranhão",244579
120,"5003702","Dourados"," Mato Grosso do Sul",243368
121,"3503208","Araraquara"," São Paulo",242228
122,"3524402","Jacareí"," São Paulo",240275
123,"3529005","Marília"," São Paulo",237629
124,"3501608","Americana"," São Paulo",237247
125,"3519071","Hortolândia"," São Paulo",236641
126,"2918407","Juazeiro"," Bahia",235816
127,"2700300","Arapiraca"," Alagoas",234696
128,"2307650","Maracanaú"," Ceará",234392
129,"3522505","Itapevi"," São Paulo",232513
130,"4105805","Colombo"," Paraná",232056
131,"3122306","Divinópolis"," Minas Gerais",231091
132,"3302502","Magé"," Rio de Janeiro",228127
133,"4313409","Novo Hamburgo"," Rio Grande do Sul",227732
134,"3131307","Ipatinga"," Minas Gerais",227731
135,"3167202","Sete Lagoas"," Minas Gerais",227360
136,"3541406","Presidente Prudente"," São Paulo",225868
137,"5218805","Rio Verde"," Goiás",225696
138,"5200258","Águas Lindas de Goiás"," Goiás",225671
139,"3301900","Itaboraí"," Rio de Janeiro",224267
140,"4323002","Viamão"," Rio Grande do Sul",224116
141,"4211900","Palhoça"," Santa Catarina",222598
142,"3300704","Cabo Frio"," Rio de Janeiro",221987
143,"3157807","Santa Luzia"," Minas Gerais",218805
144,"4318705","São Leopoldo"," Rio Grande do Sul",217410
145,"4204608","Criciúma"," Santa Catarina",214493
146,"5212501","Luziânia"," Goiás",208725
147,"2919207","Lauro de Freitas"," Bahia",203334
148,"4314100","Passo Fundo"," Rio Grande do Sul",206224
149,"2602902","Cabo de Santo Agostinho"," Pernambuco",203216
150,"2312908","Sobral"," Ceará",203023
151,"3543907","Rio Claro"," São Paulo",201418
152,"3502804","Araçatuba"," São Paulo",200124
153,"5221858","Valparaíso de Goiás"," Goiás",198861
154,"3302700","Maricá"," Rio de Janeiro",197300
155,"5107909","Sinop"," Mato Grosso",196067
156,"2804805","Nossa Senhora do Socorro"," Sergipe",192330
157,"1502400","Castanhal"," Pará",192262
158,"4315602","Rio Grande"," Rio Grande do Sul",191900
159,"3303401","Nova Friburgo"," Rio de Janeiro",189937
160,"4300604","Alvorada"," Rio Grande do Sul",187315
161,"2914802","Itabuna"," Bahia",186708
162,"3201209","Cachoeiro de Itapemirim"," Espírito Santo",185784
163,"3545803","Santa Bárbara d'Oeste"," São Paulo",183347
164,"4208906","Jaraguá do Sul"," Santa Catarina",182660
165,"4109401","Guarapuava"," Paraná",182093
166,"3515707","Ferraz de Vasconcelos"," São Paulo",179205
167,"2913606","Ilhéus"," Bahia",178703
168,"3507605","Bragança Paulista"," São Paulo",176811
169,"2112209","Timon"," Maranhão",174465
170,"1702109","Araguaína"," Tocantins",171301
171,"3129806","Ibirité"," Minas Gerais",170387
172,"3300407","Barra Mansa"," Rio de Janeiro",169899
173,"3523909","Itu"," São Paulo",168240
174,"2925303","Porto Seguro"," Bahia",167955
175,"3300100","Angra dos Reis"," Rio de Janeiro",167418
176,"3302858","Mesquita"," Rio de Janeiro",167128
177,"3203205","Linhares"," Espírito Santo",166786
178,"3548807","São Caetano do Sul"," São Paulo",165655
179,"3538006","Pindamonhangaba"," São Paulo",165428
180,"3516309","Francisco Morato"," São Paulo",165139
181,"3305802","Teresópolis"," Rio de Janeiro",165123
182,"4209300","Lages"," Santa Catarina",164981
183,"3151800","Poços de Caldas"," Minas Gerais",163742
184,"2207702","Parnaíba"," Piauí",162159
185,"2903201","Barreiras"," Bahia",159743
186,"3148004","Patos de Minas"," Minas Gerais",159235
187,"2918001","Jequié"," Bahia",158812
188,"3504107","Atibaia"," São Paulo",158640
189,"3522208","Itapecerica da Serra"," São Paulo",158522
190,"1500107","Abaetetuba"," Pará",158188
191,"3522307","Itapetininga"," São Paulo",157790
192,"2103000","Caxias"," Maranhão",156970
193,"5220454","Senador Canedo"," Goiás",155635
194,"3530706","Mogi Guaçu"," São Paulo",153661
195,"3304524","Rio das Ostras"," Rio de Janeiro",156491
196,"3547304","Santana de Parnaíba"," São Paulo",154105
197,"3152501","Pouso Alegre"," Minas Gerais",152212
198,"4101804","Araucária"," Paraná",151166
199,"2900702","Alagoinhas"," Bahia",151065
200,"4127700","Toledo"," Paraná",150470
201,"2513703","Santa Rita"," Paraíba",149910
202,"4107652","Fazenda Rio Grande"," Paraná",148873
203,"2603454","Camaragibe"," Pernambuco",147771
204,"3303203","Nilópolis"," Rio de Janeiro",146774
205,"4118204","Paranaguá"," Paraná",145829
206,"2107506","Paço do Lumiar"," Maranhão",145643
207,"2931350","Teixeira de Freitas"," Bahia",145223
208,"3507506","Botucatu"," São Paulo",145155
209,"3516408","Franco da Rocha"," São Paulo",144849
210,"2606002","Garanhuns"," Pernambuco",142506
211,"5221403","Trindade"," Goiás",142431
212,"4202909","Brusque"," Santa Catarina",141385
213,"3304144","Queimados"," Rio de Janeiro",140523
214,"4202008","Balneário Camboriú"," Santa Catarina",139155
215,"3168606","Teófilo Otoni"," Minas Gerais",137418
216,"3170701","Varginha"," Minas Gerais",136467
217,"4104204","Campo Largo"," Paraná",136327
218,"4303103","Cachoeirinha"," Rio Grande do Sul",136258
219,"3510500","Caraguatatuba"," São Paulo",134875
220,"3545209","Salto"," São Paulo",134319
221,"1502103","Cametá"," Pará",134184
222,"2616407","Vitória de Santo Antão"," Pernambuco",134110
223,"3525300","Jaú"," São Paulo",133497
224,"4316808","Santa Cruz do Sul"," Rio Grande do Sul",133230
225,"5008305","Três Lagoas"," Mato Grosso do Sul",132152
226,"4320008","Sapucaia do Sul"," Rio Grande do Sul",132107
227,"3118304","Conselheiro Lafaiete"," Minas Gerais",131621
228,"2306405","Itapipoca"," Ceará",131123
229,"2304202","Crato"," Ceará",131050
230,"3503307","Araras"," São Paulo",130866
231,"4101408","Apucarana"," Paraná",130134
232,"3300209","Araruama"," Rio de Janeiro",129669
233,"3304201","Resende"," Rio de Janeiro",129612
234,"3156700","Sabará"," Minas Gerais",129372
235,"3171204","Vespasiano"," Minas Gerais",129246
236,"3557006","Votorantim"," São Paulo",127923
237,"4119152","Pinhais"," Paraná",127019
238,"3551702","Sertãozinho"," São Paulo",126887
239,"1501303","Barcarena"," Pará",126650
240,"3556206","Valinhos"," São Paulo",126325
241,"1500602","Altamira"," Pará",126279
242,"3105608","Barbacena"," Minas Gerais",125317
243,"3202405","Guarapari"," Espírito Santo",124656
244,"1100122","Ji-Paraná"," Rondônia",124333
245,"3554003","Tatuí"," São Paulo",123942
246,"3204906","São Mateus"," Espírito Santo",123750
247,"1503606","Itaituba"," Pará",123312
248,"4302105","Bento Gonçalves"," Rio Grande do Sul",123151
249,"1501709","Bragança"," Pará",123082
250,"3505500","Barretos"," São Paulo",122485
251,"3523404","Itatiba"," São Paulo",122424
252,"3201506","Colatina"," Espírito Santo",119992
253,"4100400","Almirante Tamandaré"," Paraná",119825
254,"4101507","Arapongas"," Paraná",119138
255,"3506508","Birigui"," São Paulo",118979
256,"4119509","Piraquara"," Paraná",118730
257,"4126256","Sarandi"," Paraná",118455
258,"3525003","Jandira"," São Paulo",118045
259,"3518404","Guaratinguetá"," São Paulo",118044
260,"4301602","Bagé"," Rio Grande do Sul",117938
261,"3103504","Araguari"," Minas Gerais",117808
262,"4322400","Uruguaiana"," Rio Grande do Sul",117210
263,"4128104","Umuarama"," Paraná",117095
264,"3302007","Itaguaí"," Rio de Janeiro",116841
265,"2412005","São Gonçalo do Amarante"," Rio Grande do Norte",115838
266,"3511102","Catanduva"," São Paulo",115785
267,"3556503","Várzea Paulista"," São Paulo",115771
268,"5208004","Formosa"," Goiás",115669
269,"3543303","Ribeirão Pires"," São Paulo",115559
270,"2606804","Igarassu"," Pernambuco",115196
271,"2930709","Simões Filho"," Bahia",114441
272,"5205109","Catalão"," Goiás",114427
273,"2103307","Codó"," Maranhão",114269
274,"2910727","Eunápolis"," Bahia",113709
275,"3131703","Itabira"," Minas Gerais",113343
276,"2924009","Paulo Afonso"," Bahia",112870
277,"3522109","Itanhaém"," São Paulo",112476
278,"3513504","Cubatão"," São Paulo",112471
279,"3147907","Passos"," Minas Gerais",111939
280,"3144805","Nova Lima"," Minas Gerais",111697
281,"3104007","Araxá"," Minas Gerais",111691
282,"2613701","São Lourenço da Mata"," Pernambuco",111243
283,"5107925","Sorriso"," Mato Grosso",110635
284,"3536505","Paulínia"," São Paulo",110537
285,"1504422","Marituba"," Pará",110515
286,"4218707","Tubarão"," Santa Catarina",110088
287,"5211503","Itumbiara"," Goiás",107970
288,"1600600","Santana"," Amapá",107373
289,"4103701","Cambé"," Paraná",107208
290,"1501808","Breves"," Pará",106968
291,"2100055","Açailândia"," Maranhão",106550
292,"5107958","Tangará da Serra"," Mato Grosso",106434
293,"5211909","Jataí"," Goiás",105729
294,"4307005","Erechim"," Rio Grande do Sul",105705
295,"3145208","Nova Serrana"," Minas Gerais",105552
296,"1505502","Paragominas"," Pará",105538
297,"2307700","Maranguape"," Ceará",105093
298,"3138203","Lavras"," Minas Gerais",104761
299,"3119401","Coronel Fabriciano"," Minas Gerais",104736
300,"3143906","Muriaé"," Minas Gerais",104108
301,"3305208","São Pedro da Aldeia"," Rio de Janeiro",104029
302,"3534708","Ourinhos"," São Paulo",103970
303,"5215231","Novo Gama"," Goiás",103804
304,"3539806","Poá"," São Paulo",103765
305,"2101202","Bacabal"," Maranhão",103711
306,"1301902","Itacoatiara"," Amazonas",103598
307,"2802908","Itabaiana"," Sergipe",103439
308,"3169901","Ubá"," Minas Gerais",103365
309,"2510808","Patos"," Paraíba",103165
310,"2928703","Santo Antônio de Jesus"," Bahia",103055
311,"3134202","Ituiutaba"," Minas Gerais",102217
312,"1302504","Manacapuru"," Amazonas",101883
313,"2101400","Balsas"," Maranhão",101616
314,"2803500","Lagarto"," Sergipe",101579
315,"3504008","Assis"," São Paulo",101409
316,"3302205","Itaperuna"," Rio de Janeiro",101041
317,"4104303","Campo Mourão"," Paraná",99432
318,"2607208","Ipojuca"," Pernambuco",98932
319,"5204508","Caldas Novas"," Goiás",98622
320,"2600054","Abreu e Lima"," Pernambuco",98462
321,"2612505","Santa Cruz do Capibaribe"," Pernambuco",98254
322,"3526704","Leme"," São Paulo",98145
323,"2305506","Iguatu"," Ceará",98064
324,"3133808","Itaúna"," Minas Gerais",97669
325,"3147105"," de Minas"," Minas Gerais",97139
326,"1100023","Ariquemes"," Rondônia",96833
327,"4108403","Francisco Beltrão"," Paraná",96666
328,"3557105","Votuporanga"," São Paulo",96634
329,"1303403","Parintins"," Amazonas",96372
330,"3302270","Japeri"," Rio de Janeiro",96289
331,"5003207","Corumbá"," Mato Grosso do Sul",96268
332,"3508504","Caçapava"," São Paulo",96202
333,"1100304","Vilhena"," Rondônia",95832
334,"3509007","Caieiras"," São Paulo",95030
335,"3200607","Aracruz"," Espírito Santo",94765
336,"3147006","Paracatu"," Minas Gerais",94017
337,"3528502","Mairiporã"," São Paulo",93617
338,"3132404","Itajubá"," Minas Gerais",93073
339,"4309308","Guaíba"," Rio Grande do Sul",92924
340,"3300308","Barra do Piraí"," Rio de Janeiro",92883
341,"3530805","Mogi Mirim"," São Paulo",92559
342,"5006606","Ponta Porã"," Mato Grosso do Sul",92017
343,"1508100","Tucuruí"," Pará",91306
344,"3522406","Itapeva"," São Paulo",89728
345,"5102504","Cáceres"," Mato Grosso",89478
346,"3113404","Caratinga"," Minas Gerais",87360
347,"2932903","Valença"," Bahia",85655
348,"2501807","Bayeux"," Paraíba",82742
349,"1507953","Tailândia"," Pará",72493
350,"1507300","São Félix do Xingu"," Pará",65418
351,"3550605","São Roque"," São Paulo",93076
352,"3555406","Ubatuba"," São Paulo",92819
353,"2919553","Luís Eduardo Magalhães"," Bahia",92671
354,"3503901","Arujá"," São Paulo",92453
355,"3549102","São João da Boa Vista"," São Paulo",92315
356,"3148103","Patrocínio"," Minas Gerais",92116
357,"2806701","São Cristóvão"," Sergipe",92090
358,"3139409","Manhuaçu"," Minas Gerais",92074
359,"3305505","Saquarema"," Rio de Janeiro",91938
360,"3504503","Avaré"," São Paulo",91792
361,"3550704","São Sebastião"," São Paulo",91637
362,"5217609","Planaltina"," Goiás",91345
363,"3168705","Timóteo"," Minas Gerais",91268
364,"3162500","São João del-Rei"," Minas Gerais",90897
365,"2109908","Santa Inês"," Maranhão",89927
366,"1200203","Cruzeiro do Sul"," Acre",89760
367,"3527207","Lorena"," São Paulo",89532
368,"4118402","Paranavaí"," Paraná",89454
369,"2311306","Quixadá"," Ceará",88899
370,"2101608","Barra do Corda"," Maranhão",88895
371,"1709500","Gurupi"," Tocantins",88428
372,"2906501","Candeias"," Bahia",87820
373,"2613909","Serra Talhada"," Pernambuco",87467
374,"4203204","Camboriú"," Santa Catarina",87179
375,"1301209","Coari"," Amazonas",86713
376,"1100049","Cacoal"," Rondônia",86416
377,"3509601","Campo Limpo Paulista"," São Paulo",86407
378,"1506138","Redenção"," Pará",86326
379,"4215802","São Bento do Sul"," Santa Catarina",86317
380,"4311403","Lajeado"," Rio Grande do Sul",86005
381,"4211306","Navegantes"," Santa Catarina",85734
382,"2309706","Pacatuba"," Ceará",85647
383,"3170404","Unaí"," Minas Gerais",85461
384,"2911709","Guanambi"," Bahia",85353
385,"2606408","Gravatá"," Pernambuco",85309
386,"2601102","Araripina"," Pernambuco",85301
387,"2604007","Carpina"," Pernambuco",85131
388,"4105508","Cianorte"," Paraná",84980
389,"4118501","Pato Branco"," Paraná",84779
390,"1504703","Moju"," Pará",84251
391,"2108603","Pinheiro"," Maranhão",84160
392,"3529302","Matão"," São Paulo",84069
393,"4310207","Ijuí"," Rio Grande do Sul",84041
394,"3305554","Seropédica"," Rio de Janeiro",83841
395,"2910057","Dias d'Ávila"," Bahia",83705
396,"4307708","Esteio"," Rio Grande do Sul",83352
397,"3513405","Cruzeiro"," São Paulo",82895
398,"2407104","Macaíba"," Rio Grande do Norte",82828
399,"3306008","Três Rios"," Rio de Janeiro",82468
400,"2311405","Quixeramobim"," Ceará",82455
401,"2930501","Serrinha"," Bahia",81693
402,"2301000","Aquiraz"," Ceará",81581
403,"4303004","Cachoeira do Sul"," Rio Grande do Sul",81552
404,"3556701","Vinhedo"," São Paulo",81516
405,"3120904","Curvelo"," Minas Gerais",81085
406,"3101607","Alfenas"," Minas Gerais",80973
407,"3136207","João Monlevade"," Minas Gerais",80903
408,"2917508","Jacobina"," Bahia",80749
409,"3205101","Viana"," Espírito Santo",80735
410,"2103208","Chapadinha"," Maranhão",80705
411,"4127106","Telêmaco Borba"," Paraná",80588
412,"3169307","Três Corações"," Minas Gerais",80561
413,"4319901","Sapiranga"," Rio Grande do Sul",80514
414,"2606200","Goiana"," Pernambuco",80345
415,"3519709","Ibiúna"," São Paulo",80062
416,"4203006","Caçador"," Santa Catarina",80017
417,"3171303","Viçosa"," Minas Gerais",79910
418,"2930105","Senhor do Bonfim"," Bahia",79813
419,"2311801","Russas"," Ceará",79550
420,"3509205","Cajamar"," São Paulo",79034
421,"3527108","Lins"," São Paulo",78978
422,"2208007","Picos"," Piauí",78627
423,"1505064","Novo Repartimento"," Pará",78488
424,"3524303","Jaboticabal"," São Paulo",78029
425,"3506102","Bebedouro"," São Paulo",77612
426,"4317509","Santo Ângelo"," Rio Grande do Sul",77544
427,"2302800","Canindé"," Ceará",77484
428,"2916401","Itapetinga"," Bahia",77408
429,"3539301","Pirassununga"," São Paulo",77330
430,"3306107","Valença"," Rio de Janeiro",77202
431,"2313401","Tianguá"," Ceará",77111
432,"2601706","Belo Jardim"," Pernambuco",76930
433,"5219753","Santo Antônio do Descoberto"," Goiás",76871
434,"1506708","Santana do Araguaia"," Pará",75995
435,"3115300","Cataguases"," Minas Gerais",75942
436,"3522604","Itapira"," São Paulo",75683
437,"4204301","Concórdia"," Santa Catarina",75683
438,"2707701","Rio Largo"," Alagoas",75662
439,"4317103","Santana do Livramento"," Rio Grande do Sul",75647
440,"2301109","Aracati"," Ceará",75392
441,"2601201","Arcoverde"," Pernambuco",75295
442,"2304103","Crateús"," Ceará",75241
443,"1505304","Oriximiná"," Pará",74921
444,"3146107","Ouro Preto"," Minas Gerais",74824
445,"3512803","Cosmópolis"," São Paulo",74662
446,"5205497","Cidade Ocidental"," Goiás",74370
447,"2402600","Ceará-Mirim"," Rio Grande do Norte",74268
448,"2309607","Pacajus"," Ceará",74145
449,"2914604","Irecê"," Bahia",74050
450,"4317202","Santa Rosa"," Rio Grande do Sul",73882
451,"4307906","Farroupilha"," Rio Grande do Sul",73758
452,"2102325","Buriticupu"," Maranhão",73595
453,"2706307","Palmeira dos Índios"," Alagoas",73452
454,"3501905","Amparo"," São Paulo",73145
455,"2110005","Santa Luzia"," Maranhão",73105
456,"2907202","Casa Nova"," Bahia",73092
457,"4214805","Rio do Sul"," Santa Catarina",72931
458,"1506500","Santa Izabel do Pará"," Pará",72856
459,"2303501","Cascavel"," Ceará",72706
460,"3124104","Esmeraldas"," Minas Gerais",72512
461,"4300406","Alegrete"," Rio Grande do Sul",72493
462,"3135100","Janaúba"," Minas Gerais",72374
463,"4322608","Venâncio Aires"," Rio Grande do Sul",72373
464,"4207502","Indaial"," Santa Catarina",72346
465,"4104907","Castro"," Paraná",72125
466,"5208608","Goianésia"," Goiás",72045
467,"4205902","Gaspar"," Santa Catarina",71925
468,"3164704","São Sebastião do Paraíso"," Minas Gerais",71915
469,"2906006","Campo Formoso"," Bahia",71754
470,"2104800","Grajaú"," Maranhão",70692
471,"4202305","Biguaçu"," Santa Catarina",70471
472,"2609907","Ouricuri"," Pernambuco",70466
473,"3515103","Embu-Guaçu"," São Paulo",70402
474,"2903904","Bom Jesus da Lapa"," Bahia",70151
475,"2516201","Sousa"," Paraíba",69997
476,"4303905","Campo Bom"," Rio Grande do Sul",69981
477,"2802106","Estância"," Sergipe",69919
478,"1502202","Capanema"," Pará",69828
479,"2503209","Cabedelo"," Paraíba",69773
480,"2605202","Escada"," Pernambuco",69701
481,"3537602","Peruíbe"," São Paulo",69697
482,"2305233","Horizonte"," Ceará",69688
483,"3515509","Fernandópolis"," São Paulo",69680
484,"5105259","Lucas do Rio Verde"," Mato Grosso",69671
485,"3526803","Lençóis Paulista"," São Paulo",69533
486,"4201406","Araranguá"," Santa Catarina",69493
487,"5213103","Mineiros"," Goiás",69477
488,"4208302","Itapema"," Santa Catarina",69323
489,"2105401","Itapecuru-Mirim"," Maranhão",69233
490,"3530508","Mococa"," São Paulo",69072
491,"2402006","Caicó"," Rio Grande do Norte",68726
492,"1501782","Breu Branco"," Pará",68597
493,"1304062","Tabatinga"," Amazonas",68502
494,"2305407","Icó"," Ceará",68303
495,"4122404","Rolândia"," Paraná",68165
496,"2610905","Pesqueira"," Pernambuco",68067
497,"3135209","Januária"," Minas Gerais",67958
498,"3126109","Formiga"," Minas Gerais",67956
499,"2904605","Brumado"," Bahia",67468
500,"2908408","Conceição do Coité"," Bahia",67394
501,"1503457","Ipixuna do Pará"," Pará",67170
502,"4322509","Vacaria"," Rio Grande do Sul",66916
503,"3137601","Lagoa Santa"," Minas Gerais",66744
504,"4303509","Camaquã"," Rio Grande do Sul",66686
505,"2614501","Surubim"," Pernambuco",66192
506,"1302900","Maués"," Amazonas",66159
507,"4312401","Montenegro"," Rio Grande do Sul",66157
508,"3506359","Bertioga"," São Paulo",66154
509,"2709301","União dos Palmares"," Alagoas",65963
510,"2103604","Coroatá"," Maranhão",65788
511,"3555000","Tupã"," São Paulo",65615
512,"3149309","Pedro Leopoldo"," Minas Gerais",65149
513,"2914703","Itaberaba"," Bahia",64795
514,"1501501","Benevides"," Pará",64780
515,"1508001","Tomé-Açu"," Pará",64604
516,"2915601","Itamaraju"," Bahia",64423
517,"3524006","Itupeva"," São Paulo",64330
518,"2302602","Camocim"," Ceará",64147
519,"3537305","Penápolis"," São Paulo",64098
520,"2706703","Penedo"," Alagoas",64005
521,"2909802","Cruz das Almas"," Bahia",63923
522,"2101707","Barreirinhas"," Maranhão",63891
523,"5107040","Primavera do Leste"," Mato Grosso",63876
524,"1505809","Portel"," Pará",63831
525,"2208403","Piripiri"," Piauí",63829
526,"2609402","Moreno"," Pernambuco",63792
527,"2610004","Palmares"," Pernambuco",63745
528,"2300200","Acaraú"," Ceará",63556
529,"3505906","Batatais"," São Paulo",63438
530,"1503309","Igarapé-Miri"," Pará",63367
531,"3507001","Boituva"," São Paulo",63310
532,"2503704","Cajazeiras"," Paraíba",62576
533,"4304705","Carazinho"," Rio Grande do Sul",62413
534,"2708600","São Miguel dos Campos"," Alagoas",62328
535,"1508126","Ulianópolis"," Pará",62286
536,"3301850","Guapimirim"," Rio de Janeiro",62225
537,"4318309","São Gabriel"," Rio Grande do Sul",62187
538,"1508308","Viseu"," Pará",62093
539,"2314102","Viçosa do Ceará"," Ceará",61916
540,"3140001","Mariana"," Minas Gerais",61830
541,"3533403","Nova Odessa"," São Paulo",61716
542,"3531803","Monte Mor"," São Paulo",61707
543,"5101803","Barra do Garças"," Mato Grosso",61702
544,"2301901","Barbalha"," Ceará",61662
545,"2308708","Morada Nova"," Ceará",61590
546,"2612208","Salgueiro"," Pernambuco",61561
547,"4110706","Irati"," Paraná",61439
548,"5206206","Cristalina"," Goiás",61385
549,"1502939","Dom Eliseu"," Pará",61206
550,"3519600","Ibitinga"," São Paulo",61150
551,"2910701","Euclides da Cunha"," Bahia",61112
552,"2601904","Bezerros"," Pernambuco",60960
553,"3304300","Rio Bonito"," Rio de Janeiro",60930
554,"5007901","Sidrolândia"," Mato Grosso do Sul",60792
555,"3530300","Mirassol"," São Paulo",60768
556,"2613008","São Bento do Una"," Pernambuco",60567
557,"1503804","Jacundá"," Pará",60517
558,"3127107","Frutal"," Minas Gerais",60508
559,"1507607","São Miguel do Guamá"," Pará",60268
560,"2307601","Limoeiro do Norte"," Ceará",60232
561,"2928604","Santo Amaro"," Bahia",60190
562,"2203909","Floriano"," Piauí",60111
563,"3152105","Ponte Nova"," Minas Gerais",60003
